,Medicines,Uses
141,Hyssop,"Traditional/Ethnobotanical usesHyssop has been noted for centuries in herbal medicine. In addition, there are a number of references in the Bible to plants called ""hyssop,"" although there is considerable controversy regarding the actual identity of these plants. There is little evidence that the plant mentioned in Bible was actually ""H. officinalis.""The ancient use of this plant was an insecticide, insect repellent, and pediculicide (lice eradicator). Extracts of plant have been used as a fragrance in soaps and perfumes, and to flavor liqueurs, sauces, puddings, and candies.Miscellaneous usesThe plant has been used in herbal medicine for the treatment of sore throats, colds, hoarseness, and as an expectorant. Some herbalists also believe that hyssop has beneficial effects for asthma, urinary tract inflammation, and appetite stimulation. Its effectiveness in relieving gas and colic also are listed under its medicinal uses. None of these uses have been studied clinically.Although an extract of the leaves has been suggested for the treatment of wounds, there does not appear to be strong evidence for its effectiveness as an antibacterial.Still used today by herbalists for its beneficial effects, hyssop's volatile oil represents the most important fraction of this plant. It may have some small beneficial effect in the treatment of sore throats and as an expectorant. However, clinical studies are lacking for any medicinal use of hyssop."
142,Inositol Hexaphosphate,"
Inositol is used by some people to help with mental conditions like low mood, panic attacks, or obsessive compulsive disorder. Others use it to help with diabetes."
143,Ipecac,"Traditional/Ethnobotanical usesBrazilian Indians valued ipecac as a remedy for dysentery, and this information was brought to Europe by Portuguese missionaries. The dried root and rhizome are the source of the medicinally useful products. Ipecac has been widely used in syrup form as a potent and effective emetic. Ipecac powder had been used to induce sweating at the onset of influenza, and small amounts of the extract have been incorporated into cough syrups as expectorants. Emetine, derived from the root, has been used for more than a century to treat dysentery.EmeticIpecac induces vomiting by an irritant action on the intestinal mucosa and produces reflex vomiting and diarrhea. It also exerts a central emetic action. Emetine, one of its principle active components, primarily has a central action on the chemoreceptor trigger zone. The syrup induces vomiting in 15 to 60 minutes and is most effective when accompanied by fluid intake.Debate surrounds the use of ipecac. One study found no apparent benefit when syrup of ipecac was used in the home, although there may be a benefit in certain poisonings. This remains to be proven.Ipecac should be administered to an alert, conscious person who has ingested a potentially toxic amount of a poison. Do not administer ipecac to someone who has ingested either a corrosive substance or hydrocarbon with a high aspiration potential (eg, gasoline).Maximum benefit can be expected in those patients who take ipecac soon after poison ingestion.AmebicideEmetine, a component of ipecac, also has amebicidal components. While ipecac is not effective against amebic dysentery, it may be useful for amebic abscesses and hepatitis. Emetine injected intramuscularly is distributed systemically."
144,Jojoba,"Traditional/Ethnobotanical usesAmerican Indians and Mexicans have long used jojoba oil as a hair conditioner and restorer, and in medicine, cooking, and rituals. In the United States, jojoba is considered a viable cash crop for the southwestern Indians, and the Bureau of Indian Affairs has funded most of the studies in this area.With the banning of the sale of sperm whale oil in the 1970s, the cosmetic industry turned to jojoba oil for use in shampoos, moisturizers, sunscreens, and conditioners. It has further potential as an industrial lubricant because it does not break down under high temperature or pressure. A disadvantage to its use is its relatively high cost.General usesThe toxicity of the constituent simmondsin in jojoba seed meal and some oil components limits the likelihood of clinical use. Jojoba oil is commonly used in dermatological preparations."
145,Juniper,"Traditional/Ethnobotanical usesJuniper berries (the mature female cone) have been used as a flavoring in foods and alcoholic beverages such as gin. In herbal medicine, juniper has been used for indigestion and as a steam inhalant in the management of bronchitis. The native people of North America have used juniper as medicine that refreshes/restores and in tuberculosis, among other conditions. The berries also serve as seasonings for pickling meats and as flavoring for liqueurs and bitters. Other uses include perfumery and cosmetics. Juniper tar also is used for its gin-like flavor and in perfumery.General usesJuniper berries have been used as a flavoring for beverages and as a seasoning for cooking, as well as in traditional medicine. Limited clinical evidence exists for effectiveness or harm, and use should be limited to low concentrations."
146,Kalonji,"
Kalonji may be used by some people as medicine. Science currently does not support the use of this product for any health problem."
147,Kaolin Hydrated Aluminum Silicate,"Traditional/Ethnobotanical usesKaolin has been used commercially and medicinally for hundreds of years. It is currently found in the manufacture of pottery, bricks, cement, plastering material, color lakes (insoluble dyes), and insulators. As a raw material, it is commonly found in paper, plastics, cosmetics, and pharmaceuticals, and it is also used in pharmaceutical preparations as a filtering agent to clarify liquids.General usesKaolin has traditionally been used internally to control diarrhea. Kaolin has also been used topically as an emollient and drying agent. Specifically, it has been used to dry oozing and weeping poison ivy, poison oak, and poison sumac rashes. It has also been used as a protectant for the temporary relief of anorectal itching and diaper rash."
148,Kava,"
Kava is used by some people to help lower anxiety and as a sleep aid. Others use it to relax muscles. Some people may use this to help prevent cancer."
149,Kombucha,"Traditional/Ethnobotanical usesThe name ""kombucha"" is derived from Japanese; it is brewed in a seaweed (kombu) tea (cha). In Western countries, the product typically is grown in black tea; spores are floated on the surface of brewed, sweetened black tea. The vegetative part of the fungus doubles in mass approximately every week. The mass then is divided and the new portion is grown on a new tea mixture. As the growth matures, it ferments the beverage slightly and it is consumed for its possible medicinal properties. Drinking fermented teas has long been popular in Eastern countries, and the use of this particular growth may date back several centuries.Kombucha tea has grown rapidly in popularity in the past year, and has been promoted as a miracle cure for a wide variety of illnesses ranging from memory loss to premenstrual syndrome. Despite claims for its drug activity, some experts believe that the tea meets the US Food and Drug Administration requirements as a fraudulent product: reference to non-US medical studies, an appeal to vanity, ancient origins, and alleged cures for a wide variety of ailments. Some of these claims include curing cancer, rheumatism, and intestinal disorders, as well as reversing the effects of aging.General usesEvidence does not support the drug claims for kombucha teas; rare case reports of severe toxicity exist."
150,Kudzu,"Traditional/Ethnobotanical usesKudzu was introduced to the United States in the late 1800s to control soil erosion, and although widely recognized as a ground cover and fodder crop in the Western world, the plant has a long history of medicinal use in Asian cultures. Beginning in the 6th century BC, Chinese herbalists used the plant for prevention of intoxication, muscular pain, and treatment of measles. Kudzu is native to Japan, China, and Fiji.General usesCurrent interest in kudzu centers on its use as therapy for alcoholism, although sufficient and consistent clinical trials are lacking. Estrogenic activity of kudzu is also being investigated, although clinical trials are limited."
151,L-arginine,"Traditional/Ethnobotanical usesL-arginine is a nonessential amino acid that may play an important role in the treatment of heart disease due to its block arterial plaque buildup, blood clots, platelet clumping, and to increase blood flow through the coronary artery. L-arginine is commonly sold as a health supplement claiming to improve vascular health and treat erectile dysfunction in men. L-arginine, which is promoted as a human growth stimulant, has also been used in bodybuilding. In the 1800s, it was first isolated from animal horn."
152,L-Theanine,"
L-Theanine is used by some people to help lower anxiety and as a sleep aid. Others believe it helps with the immune system. Some people believe it may help prevent cancer. L-Theanine is used by some people to help relax."
153,L-Tryptophan,"
L-Tryptophan is also known as tryptophan. It is used by some people to help with sleeping problems. Others may use it to help stop smoking. Some people believe it may help with problems like low mood or attention deficit disorder. Women may take this product to help with mood problems that go along with their periods."
154,Lavender,"Traditional/Ethnobotanical usesLavender has been used for pain, bacterial and fungal infections, depression, cramps, indigestion, to promote wound healing, and as a sedative. Extracts have been used to treat conditions ranging from acne to migraines. Although the plant has been known to increase bile flow output and flow into the intestine, its greatest value is not in the treatment of liver conditions. Lavender has been used extensively for diabetes in parts of Spain and is included in some commercial herbal antidiabetic preparations. Fresh leaves and flowers are applied to the forehead to relieve headaches and to joints to treat rheumatic pain. The vapors of steamed flowers are used as a cold remedy. Chileans drink the tea to induce or increase menstrual flow.General usesLavender has been used for restlessness, insomnia, anxiety, diabetes, GI distress, discomfort following childbirth, cancer, as an insect repellant, and as a food flavoring agent. However, there are limited clinical trials to support any of these uses."
155,Lecithin,"
Lecithin is used by some people to help lower cholesterol. Others use it to help with mental or nerve problems. Others use lecithin as a skin moisturizer."
156,Lemon Balm,"
Some people use lemon balm to help lower stress and anxiety. Others may use lemon balm to help with herpes or cold sores. Some people use lemon balm to help promote sleep. Others believe it may help with heartburn. Lemon balm may be used to help with colic. It may also help with Alzheimer disease."
157,Lemon Verbena,"Traditional/Ethnobotanical usesLemon verbena has been used as a medicinal plant for centuries to stop muscle spasms, as a fever reducer and sedative, for indigestion, and to increase appetite, among other indications. Research regarding its medicinal use is limited. The leaves and flowering tops are used in teas and as beverage flavors. Its fragrance is used in perfumery.General usesLemon verbena extract has demonstrated antioxidant activity and the essential oil has shown antimicrobial properties, but there is no evidence for clinical use."
158,Licorice,"
Licorice is used by some people to help with stomach and bowel problems like ulcers or heartburn. Others use it to help with infections. Some people believe licorice will help protect your liver or protect you from cancer. Some people use licorice to help with hot flashes that happen in menopause."
159,Linden,"Linden has been used to induce sweating for feverish colds and infections, to reduce nasal congestion, and relieve throat irritation and cough. Linden has sedative effects and has been used to treat nervous palpitations and high blood pressure. It has also been added as an ingredient in lotions to relieve itchy skin. However, there is limited clinical information to support these uses.Traditional/Ethnobotanical usesSince the Middle Ages, the flowers of the linden tree have been used to promote sweating. Traditionally, the flowers have been used to treat flu, cough, migraine, nervous tension, ingestion, various types of spasms, liver and gall bladder disorders, diarrhea, and elevated arterial pressure associated with arteriosclerosis. Infusions of the flowers make a pleasant-tasting tea. Linden flowers were once believed so effective in treating epilepsy that one could be cured simply by sitting beneath the tree. In Greek mythology, ""Philyra,"" a nymph, was transformed into a linden tree after begging the gods not to leave her among mortals."
160,Lobelia,"Traditional/Ethnobotanical usesAmerican Indians smoked the leaves as tobacco and used them medicinally for respiratory illnesses. Lobelia was introduced into New England medical practice in the 18th century to produce vomiting. It was also used in treating colic, rheumatism, fever, and asthma. By the 19th century, lobelia was considered an important medicinal plant used in many conditions (eg, abscess, insomnia, tetanus, shock); however, deaths were recorded due to dosing inconsistencies. In 1993, the sale of lobelia over-the-counter (OTC) products for smoking cessation was prohibited by the US Food and Drug Administration (FDA).General usesLobelia inflata has been used in smoking cessation programs and has been proposed for treatment of other drug dependencies; however, clinical evidence is limited."
161,Lutein,"
Lutein is used by some people to help protect the eyes from age-related macular degeneration and cataracts. Others believe it helps with heart problems or cancer. Some people believe it helps protect the skin from sun damage."
162,Lycopene,"
Lycopene is used by some people to prevent cancer or heart disease. Others believe it will help with diabetes."
163,Lysine,"
Lysine is used by some people to help with herpes infections and cold sores. Others believe it helps with osteoporosis. Some use lysine to help with diabetes. Some people believe it helps with chest pain. Some people use lysine to help with migraines or other kinds of pain. Others believe it helps to lower anxiety."
164,Ma Huang,"Traditional/Ethnobotanical usesMa huang is one of the earliest and best known drugs of Chinese traditional medicine, referenced in the Shen Nong Ben Cao Jing, one of the foundation books of Chinese medicine (about 100 AD). It was and still is used to induce perspiration and to treat the symptoms of bronchial asthma, colds, and influenza.Chemical investigations of ephedra in the early 20th century resulted in the isolation of the alkaloids ephedrine and pseudoephedrine, which were identified as the major pharmacologically active compounds in the aboveground portions of the plant.Miscellaneous usesWhile asthma treatment is one of the classical clinical uses for pure ephedrine as a pharmaceutical drug, dietary supplements promote ephedra as the herb for weight loss and increasing athletic performance. Ephedra has been a major component of herbal supplements for weight loss and athletic performance, often with caffeine also added. However, many manufacturers have recently reformulated products to remove ephedra because of legal liability questions. Because of its potential serious side effects, its use is not recommended."
165,Maca,"Traditional/Ethnobotanical usesMaca was domesticated at least 1,300 to 2,000 years ago and has been used commonly as a food by native Andean people because of its high nutritional value as well as to enhance fertility and sexual performance. Indigenous people used maca to treat numerous conditions including anemia, tuberculosis, sterility, and fatigue. Ethnobotanical studies document the use of maca for depression, and cancer, as well as for menstrual and sexual disorders.The tuberous hypocotyl, or root, of the plant may be eaten raw or cooked, and dried and stored for years without serious deterioration. The root has a tangy taste and an aroma similar to that of butterscotch. Dried root may be mixed with honey or fruits to prepare juices, gelatins, jams, and alcoholic beverages.General usesNumerous studies on the aphrodisiac and fertility-enhancing properties of maca are documented in scientific literature."
166,Maitake,"Miscellaneous UsesMaitake has been used for its antiviral action and to treat diabetes, high blood pressure, cholesterol, and obesity. Maitake has been studied to a limited extent for treating cancer; however, the information available is not sufficient to recommend it for this use. The mushroom not only stimulates the immune system, but also has been tested in hypertension and HIV therapies.Traditional/Ethnobotanical usesIn China and Japan, maitake mushrooms have been consumed for 3,000 years, valued for their legendary properties. Maitake's scientific name, Grifola frondosa, is derived from an Italian mushroom name referring to a mythological beast, half lion and half eagle. Years ago in Japan, the maitake had monetary value and was worth its weight in silver. In the late 1980s, Japanese scientists determined that the maitake was more potent than shiitake, suehirotake, and kawaratake mushrooms, all of which are used in traditional Asian medicine for immune function enhancement."
167,Marijuana,"
Marijuana is used by some people to help with upset stomach and throwing up that goes with chemo. Others use it to help with glaucoma. Marijuana is used by some people to stimulate their appetite, in HIV/AIDS related weight loss, or to help with other stomach problems. Some people with multiple sclerosis will use this product to help with pain and muscle spasms. Others believe it helps with nerve-related pain."
168,Maritime Pine,"Traditional/Ethnobotanical UsesIn 1535, a French explorer is said to have used tea made from the bark of the maritime pine to treat scurvy among his sailors when his ship became icebound. The extract has been used for anemia, inflammation, and heart/blood vessel conditions. Pine bark has been used as a food source in emergencies. Pine bark extract is available without a prescription in US health food stores and pharmacies, as well as from online sources.General usesPine bark extract has antioxidant and anti-inflammatory actions and has been studied for a wide range of ailments, including asthma, attention deficit hyperactivity disorder, long-term blood flow problems, heart/blood vessel conditions, diabetes, and erectile dysfunction. However, many clinical studies have been small and poorly designed."
169,Maté,"Traditional/Ethnobotanical usesYerba maté infusion has been used for centuries in folk medicine as a stimulant against physical and mental weakness, and for treating liver and digestive diseases, obesity, high blood pressure, high cholesterol, and inflammatory diseases such as arthritis and rheumatism. Yerba maté was used as a beverage for it depurative (to promote cleansing and excretion of waste), stimulant, and diuretic properties by the native people of Brazil and Paraguay. The plant Ilex paraguariensis first was cultivated by Jesuit missionaries in these regions. Consumption of maté is common in Brazil south of the Amazon River and in Paraguay and Argentina. In those areas, the beverage largely replaces coffee and tea. Raw leaves are not consumed, but are harvested from May through September and flash heated to halt enzymatic processes. The leaves are then wood smoked, dried, and aged—processes that alter the chemical composition and flavor of the resultant powdered leaves. Traditionally, yerba maté is served in a small gourd called a maté and consumed through a drinking tube, or bombilla, with a filter attached to the lower end to prevent consumption of the leaf fragments. Burnt sugar, lemon juice, or milk may be used to flavor the infusion.General usesMaté has been traditionally used as a caffeine- and vitamin-containing beverage for its stimulant, diuretic, and cleansing properties. Effects against cancer and hardening of the arteries have also been suggested, as well as weight-reduction properties. Clinical trials are limited."
170,Meadowsweet,"Traditional/Ethnobotanical usesIn 1597, botanist John Gerard noted that the smell of meadowsweet ""delighteth the senses."" In 1652, English physician Nicholas Culpeper wrote about the plant's therapeutic effects on the stomach. In 1682, meadowsweet was mentioned in a Dutch herbal. Queen Elizabeth I adorned her apartments with meadowsweet. The flowers were used to flavor alcoholic beverages in England and Scandinavian countries. In the Middle Ages, meadowsweet was known as ""meadwort"" because it was used to flavor mead, an alcoholic drink made by fermenting honey and fruit juices. In 1838, salicylic acid, first synthesized in the 1890s to make aspirin, was isolated from the plant. The word ""aspirin"" is derived from ""spirin,"" based on meadowsweet's scientific name, ""Spiraea."" The plant was used in folk medicine for cancer, tumors, rheumatism, and as a diuretic. Today, it is used as a digestive remedy, as supportive therapy for colds, for analgesia, and for other indications.Miscellaneous usesMeadowsweet has been used for colds, respiratory problems, acid indigestion, peptic ulcers, arthritis and rheumatism, skin diseases, and diarrhea."
171,Melatonin,"
Melatonin is used by some people to help regulate sleep. This may be used by people who travel a lot or who work different shifts. Some people use melatonin to help with sleep problems caused by certain drugs. It is also used by some people for cancer or to lower side effects from chemotherapy. Melatonin may help prevent low mood after breast cancer surgery. Some people use melatonin to help with high blood pressure and for the reduction or to lower anxiety before surgery. Some people believe melatonin helps stomach ulcers or endometriosis. A melatonin cream is used by some people to protect from sunburn."
172,Methylsulfonylmethane (MSM),"
Methylsulfonylmethane is also called MSM. It is used by some people to help with pain, especially from arthritis. Others use it to help with an upset stomach or decrease muscle damage caused by exercise. Some people believe it helps to boost the immune system, fight infections, or help with allergies. It may also be used by some people to help fight skin conditions or hemorrhoids."
173,Milk Thistle,"
Milk thistle is used by some people to help with liver problems. Others use it to help prevent harm to the liver. Some people with diabetes will take it to help lower blood sugar."
174,Mistletoe,"Traditional/Ethnobotanical usesMistletoe preparations have been used medicinally in Europe for centuries to treat epilepsy, infertility, hypertension, and arthritis. The Celtic priests, known as Druids, revered the oak tree and the mistletoe that grew on it, according to Roman author and naturalist Gaius Plinius Secundus (also known as Pliny the Elder). At the winter celebration of Samhain, the sacred oaks were bare except for the green boughs of mistletoe, and this was taken as a sign of eternal fertility. The Celts placed a sprig of mistletoe above the door of their houses and its sacred nature prohibited fighting beneath it. This evolved over centuries into the custom of kissing underneath mistletoe at Christmas. In 1921, the Austrian anthroposophical spiritual leader Rudolf Steiner suggested that mistletoe might be used to treat cancer, based on the observation that mistletoe, like cancer, is parasitic and lethal to its host. Swiss and German clinics were founded to implement this idea and still actively use a mistletoe preparation fermented with a strain of Lactobacillus for 3 days. Mistletoe extracts contain several toxic proteins, several of which are lectins, or proteins capable of binding to specific sugars.General usesMistletoe has been used to treat cancer, although there is a lack of quality clinical trials and no evidence of an effect. Most evidence is ancedotal and based on case reports. Further study is needed. In folk medicine, it has been used for its cardiovascular properties, but its clinical efficacy has not been established. Injectable mistletoe extract is widely used in Europe but is not licensed for use in the United States."
175,Muira Puama,"Traditional/Ethnobotanical usesThe promotion of muira puama as a male sexual stimulant or as a treatment for erectile dysfunction can be traced back to the 1930s in Europe, but its popularity has increased with the success of Viagra (sildenafil) and the promotion of herbal sildenafil preparations. It is also an ingredient of the popular Brazilian herbal tonic Catuama, consisting of guarana, ginger, Trichilia catigua, and P. olacoides. The stems and roots of P. olacoides have been used as a tonic for nerve and muscle problems. A root mixture is used externally in massages and baths for paralysis and beriberi (disease in which the body does not have enough thiamine [vitamin B1]). Tea made from the roots has been used for erectile dysfunction, rheumatism, and GI problems.General usesClinical evidence to support the effects of P. olacoides on sexual dysfunction is limited. More focus is now on potential use in Alzheimer or similar conditions of mental decline. Studies in rodents demonstrated improved memory and reversal of mental impairment; however, clinical trials are limited."
176,Mullein,"Traditional/Ethnobotanical usesMullein boasts an illustrious history as a favored herbal remedy and, consequently, has found use in various disorders. Its traditional uses generally have focused on the management of respiratory disorders where it was used to treat asthma, coughs, tuberculosis, and related respiratory problems. However, in its various forms, the plant has been used to treat hemorrhoids, burns, bruises, and gout. Preparations of the plant have been ingested, applied topically, and smoked. The yellow flowers once were used as a source of yellow hair dye. In Appalachia, the plant has been used to treat colds and the boiled root administered for croup. Leaves were applied topically to soften and protect the skin. An oil derived from the flowers has been used to soothe earaches.Miscellaneous usesThere is little evidence to indicate that the plant can offer more than mild astringent and topical soothing effects. It may have mild demulcent properties when ingested. Mullein has expectorant and cough suppressant properties that make it useful for symptomatic treatment of sore throat and cough. Antiviral activity of mullein has been reported against herpes and influenza. Clinical research is lacking."
177,Myrrh,"Traditional/Ethnobotanical usesMyrrh has been used for centuries as incense and for medicinal purposes. Medicinally, it has been used as an astringent, antiseptic, antiparasitic, antitussive, emmenagogue, and antispasmodic agent. It was commonly included in mixtures used to treat worms, wounds, and sepsis during the 4th century BC. Myrrh has also been reported to treat gout, headache, jaundice, throat ailments, indigestion, fatigue, and paralysis. Myrrh has been used in a variety of infectious diseases, including leprosy and syphilis, and to treat cancers. The Chinese have used myrrh in the management of a variety of skin and mouth infections. Myrrh played a key role in the religious ceremonies of the ancient Egyptians. Today, myrrh is used as a component of fragrances and as an astringent in mouthwashes and gargles.General usesMyrrh is used as a fragrance in cosmetics and as a flavoring agent in foods and beverages. It has also been used as an astringent, as an antiseptic to be applied to inflamed sores of the throat and mouth, to stimulate menstruation, as an antispasmodic, and for the treatment of cancer and infectious diseases. Myrrh also has a potential role in the treatment of schistosomiasis and fascioliasis; however, there is limited clinical information to support these uses."
178,Neem,"Traditional/Ethnobotanical usesAlmost every part of the neem tree is used in traditional medicine (eg, Ayurveda, Unani, Siddha, Amchi) in many countries, with some 700 preparations described. The stem, root bark, and young fruits are used as a tonic and astringent, and the bark has been used as an analgesic and to treat malaria and cutaneous diseases. The tender leaves have been used in the treatment of worm infections, ulcers, and cardiovascular diseases, as well as in the treatment of leprosy. Indian farmers have used the leaves for hundreds of years as a pesticide and insect repellent.General usesLimited clinical trials exist to support therapeutic claims. Neem has been used as an insecticide, insect repellent, and oral dentifrice, and in traditional medicine to treat malaria, diabetes, worms, and cardiovascular and skin diseases. It reportedly has contraceptive, antiulcer, and fungicidal properties, as well as applications relevant to cancer."
179,Nettles,"
Nettles is used by men to help with signs of an enlarged prostate. This is called benign prostatic hyperplasia or BPH. Others use it to help lower the pain that goes with arthritis. Some people will use nettles to help with a runny nose and other problems caused by allergies. Some people may use this product to lower their blood sugar."
180,Noni,"Traditional/Ethnobotanical usesPolynesian healers have used noni fruits for thousands of years to help treat a variety of health problems such as diabetes, high blood pressure, aches, pains, burns, arthritis, inflammation, tumors, the effects of aging, and parasitic, viral, and bacterial infections. Ancient healing manuscripts cite the fruit as a primary ingredient in natural healing formulations. Today, fruit preparations are sold as juice, in dried ""fruit-leather"" form, and as a dry extract in capsules.General usesNoni has traditionally been used for colds, flu, diabetes, anxiety, and high blood pressure, as well as for depression and anxiety. All plant parts are used for a variety of illnesses in Samoan culture, and noni is one of the most frequently used Hawaiian plant medicines. Claims that have not been proven in clinical trials include: the use of bark for the treatment of bacterial infections, cough, diarrhea in infants, and stomach ailments; the flowers for sore or irritated eyes, styes, conjunctivitis, ocular inflammation, and coughs; the fruit for asthma, wounds, broken bones, mouth and throat infections, tuberculosis, worms, diarrhea, fever, vomiting, eye ailments, arthritis, depression, seizures, bacterial and fungal infections, viruses, and as a tonic; the fresh fruit juice for cancer; the dried leaves used externally for infections, burns, children's chest colds, and inflammation, and internally for boils, pleurisy, inflamed gums, and arthritic pain; the fresh leaves used externally for burns and internally for fevers, hemorrhage, bacterial infections, and inflammation; and the roots for oral ulcerations, fevers, and cancerous swellings."
181,Oats,"Traditional/Ethnobotanical usesDerived from wild grasses, the oat was domesticated into today's cultivated plant. The oldest known oat grains were found in Egyptian remains from about 2000 BC. Scottish settlers introduced oats into North America in the early 17th century. Before being used as a food for humans, oats were used as a livestock feed in the form of grain, pasture, hay, or silage. Traditional medicinal uses of oats include the treatment of rheumatism, depression, chronic nerve pain, and loss of bladder control, and, externally, as a skin cleanser and softener.General usesOats and oatmeal are used primarily as a food source. Use in celiac disease is debated. Benefits in dermatology, high cholesterol, heart conditions, and diabetes remain controversial."
182,Olive Leaf,"Traditional and ethnobotanical usesThe olive tree was cultivated in Crete as far back as 3500 BC, where the leaves were used to clean wounds. Symbolically, the olive branch stands for peace. The leaves were worn by athletes in ancient Olympic Games. Medicinal uses of the plant in the 1800s included malaria treatment.General usesInterest in olive leaf use centers on antioxidant and antiviral activity, as well as its possible role in diabetes and heart/blood vessel conditions. However, clinical trials do not support its use for any indication."
183,Olive Oil,"
Olive oil is used by some people to lower cholesterol and improve heart health. Others use it as a laxative. Some people believe it protects from cancer. Others will use it to help skin conditions. Others believe it helps with arthritis or high blood pressure."
184,Onion,"Traditional/Ethnobotanical usesCentral and western Asia is believed to be the region where onions were domesticated. Onions were pictured as early as 5,000 years ago on ancient Egyptian monuments. Ancient Greek and Roman writings also refer to the onion. During the Middle Ages, onions were consumed throughout Europe. They later were thought to guard against evil spirits and the plague, probably because of their strong odor. Onion skin dye has been used for egg and cloth coloring for many years in the Middle East and Europe. Columbus was said to have brought the onion to America. Folk healers used the onion to prevent infection. The combination of onions and garlic cooked in milk is a European folk remedy used to clear congestion. Onion has potential in treating heart disease, hyperglycemia, and stomach cancer, although few quality clinical trials are available to support these uses. Topical preparations have been evaluated to prevent surgical scarring with varying success."
185,Oregano,"Traditional/Ethnobotanical usesOregano has been a common ingredient in Spanish, Mexican, and Italian dishes as a spice and flavoring agent for hundreds of years. Its initial purpose was as a warming digestive and circulatory stimulant. It also has been used in perfumery, especially in the scenting of soaps. The antiseptic qualities of aromatic and medicinal plants and their extracts have been recognized since ancient times.Antispasmodic, sedative, indigestion, sweating, and stimulant actions have been reported. An infusion of the fresh herb may have beneficial effects on an upset stomach, headache, colic, and nervous complaints, as well as on coughs and other respiratory ailments. An infusion of the flowers is said to prevent seasickness. The oil is also used externally in liniments and lotions and to ease toothache. It has also been used as an insect repellant.General usesAside from its food uses, oregano has antibiotic and antioxidant qualities and has possible activity against cramps and in diabetes. However, there is no clinical evidence to support the use of oregano in any indication."
186,Pantothenic Acid,"
Pantothenic acid or vitamin B5 is used to help lower cholesterol. Some people use it to help with acne, wound healing, or other skin problems. Some people will use pantothenic acid to help with eye problems. Others feel pantothenic acid helps with GI problems."
187,Papaya,"Traditional/Ethnobotanical usesPapaya, a tropical plant believed to have originated in southern Mexico and Central America, is now cultivated in tropical and subtropical regions worldwide. C. papaya is cultivated for its edible ripe fruit; its juice is a popular beverage, and its young leaves, shoots, and fruits are cooked as a vegetable. The fruits are a source of flavoring used in candies, jellies, preserves, and ice cream. Shallow cuts on the surface of fully grown but unripe fruits cause a milky sap or latex to ooze that is collected, dried, and termed ""crude papain."" Papain has many industrial uses, as well as milk-clotting (rennet) and protein-digesting properties. Nearly 80% of American beer is treated with papain, which allows the beer to remain clear upon cooling. Papain is most commonly used commercially in meat tenderizers and chewing gums. Cosmetically, papain is used in some toothpastes, shampoos, and facial creams.Miscellaneous usesPapaya has been used widely in folk medicine for many ailments: the juice for warts, corns, cancers, tumors, and thickened skin; the roots or their extracts for cancers of the uterus, syphilis, the tropical infection, hemorrhoids, and to remove mineral concretions in the urine; the unripe fruit as a mild laxative or diuretic, and to stimulate lactation, labor, or abortion; the ripe fruit for rheumatism and alkalinizing the urine; the seeds for intestinal worms or to stimulate menstruation or abortion; the leaves as a poultice for nervous pains and elephantoid growths, or smoked for asthma relief; and the latex for psoriasis, ringworm, indigestion, or applied externally as an antiseptic or to heal burns or scalds, or applied to the cervix to contract the uterus.General usesIn some developing countries, the traditional use of papaya is being investigated as an alternative to standard treatments for a range of ailments. C. papaya has a wide range of purported medicinal properties for treatment of diabetes, as birth control, as an antiseptic, antimicrobial, or diuretic, to control parasites, reduce inflammation, lower blood pressure, and lower cholesterol. While there are only limited data to support most of these uses, there is some evidence for healing bed sores and other wounds and in treating intestinal worms in humans."
188,Parsley,"Traditional/Ethnobotanical usesParsley leaves and roots are popular as condiments and garnish worldwide. In Lebanon, parsley is a major ingredient in the national dish tabbouleh. An average adult may consume as much as 50 g of parsley per meal.Miscellaneous usesParsley has been used as a source of certain vitamins and minerals. Parsley seed was used traditionally as a carminative to decrease flatulence and colic pain. The root was used as a diuretic and the juice to treat kidney ailments. Parsley oil also has been used to regulate menstrual flow in the treatment of amenorrhea and dysmenorrhea, and is purported to be an abortive. Bruised leaves have been used to treat tumors, insect bites, lice, skin parasites, and contusions. At one time, parsley tea was used to treat dysentery and gallstones. Other reported traditional uses include treatment of diseases of the prostate, liver, and spleen. Historically, parsley also has been used in the treatment of anemia, arthritis, and cancers, as an expectorant, antimicrobial, aphrodisiac, hypotensive, diuretic, and laxative. It also has been used as a scalp lotion to stimulate hair growth. However, there have been no clinical trials to confirm these uses."
189,Passion Flower,"
Passion flower is used by some people to help with sleep problems. Others use it to treat pain or muscle cramps. Passion flower can help treat anxiety or mood disorders. Some people use passion flower to help with the signs that go along with opioid drug withdrawal."
190,Pectin,"
Pectin is used by some people to help with loose stools. Others believe it will lower cholesterol levels. Some people believe it helps to lessen heartburn. Pectin is used by some people to help slow cancer growth."
