,Medicines,Page_Content
185,Oregano,"
Oregano

Professional
Breastfeeding

More 


What is Oregano?



Common or wild oregano is a perennial plant native to the Mediterranean region and Asia and cultivated in the United States. Its creeping rootstock produces a square, downy, purplish stem with leaves that are dotted with small depressions. Purple, two-lipped flowers grow in clusters.O. vulgare subspecies hirtum has a spicy flavor. This subspecies of oregano has furry leaves and floppy white flowers. Mexican oregano is similar in properties but comes from a different plant, Lippia graveolens Kunth.
Scientific Name(s)
Origanum vulgare L., Origanum onites L., Origanum syriacum L.
Common Name(s)
Wild marjoram, mountain mint, Mexican oregano, winter marjoram, wintersweet, kekik (Turkish), and Mediterranean oregano.
What is it used for?
Traditional/Ethnobotanical usesOregano has been a common ingredient in Spanish, Mexican, and Italian dishes as a spice and flavoring agent for hundreds of years. Its initial purpose was as a warming digestive and circulatory stimulant. It also has been used in perfumery, especially in the scenting of soaps. The antiseptic qualities of aromatic and medicinal plants and their extracts have been recognized since ancient times.Antispasmodic, sedative, indigestion, sweating, and stimulant actions have been reported. An infusion of the fresh herb may have beneficial effects on an upset stomach, headache, colic, and nervous complaints, as well as on coughs and other respiratory ailments. An infusion of the flowers is said to prevent seasickness. The oil is also used externally in liniments and lotions and to ease toothache. It has also been used as an insect repellant.General usesAside from its food uses, oregano has antibiotic and antioxidant qualities and has possible activity against cramps and in diabetes. However, there is no clinical evidence to support the use of oregano in any indication.
What is the recommended dosage?
There is no clinical evidence to support specific therapeutic doses of oregano; however, due to its wide use in foods it has been designated GRAS (generally recognized as safe) by the US Food and Drug Administration (FDA). In a small study, 200 mg/day emulsified O. vulgare oil was administered for 6 weeks.
Contraindications
Contraindications have not been identified.
Pregnancy/Lactation
Information regarding safety and efficacy in pregnancy and lactation is lacking. GRAS status when used as food. Ingestion beyond amounts found in food should be avoided because safety and efficacy are unproven. Some studies indicate hormonal effects.
Interactions
None well documented.
Side Effects
Oregano has caused reactions when applied to the skin. When oregano is eaten, rash, and, rarely, severe, whole-body allergic reactions can occur.
Toxicology
Information in humans is lacking.
References
1. Oregano. Review of Natural Products. Facts & Comparisons [database online]. St. Louis, MO: Wolters Kluwer Health Inc; November 2011.Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about oregano

Breastfeeding

Professional resources

Oregano (Advanced Reading)

Related treatment guides

Herbal Supplementation


"
186,Pantothenic Acid,"
Pantothenic Acid Medically reviewed by Drugs.com.  Last updated on Apr 12, 2019. What are other common names?





Acide D-Pantothénique
Acide Pantothénique
Alcool Pantothénylique
Antidermatitis Vitamin
B Complex Vitamin
Calcii Pantothenas
Calcium D-Pantothenate
Calcium Pantothenate
Calcium-Pantothenate
Complexe de Vitamines B
D(+)-alpha-(-dihydroxy-beta,beta-dimethylbutyryl-beta-alanaine)
D-Calcium Pantothenate
D-Panthenol
D-Panthénol
D-Pantothenic Acid
D-Pantothenyl Alcohol
D-Pantothénate de Calcium
Dexpanthenol
Dexpanthenolum
Dexpanthénol
Pantethine
Panthenol
Panthénol
Pantothenate
Pantothenic Acid
Pantothenol
Pantothenylol
Pantothénate
Pantothénate de Calcium
Pantéthine
Vitamin B-5
Vitamin B5
Vitamine B5
Ácido Pantoténico

What is this product used for?
Pantothenic acid or vitamin B5 is used to help lower cholesterol. Some people use it to help with acne, wound healing, or other skin problems. Some people will use pantothenic acid to help with eye problems. Others feel pantothenic acid helps with GI problems.
What are the precautions when taking this product?


Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products.


Take extra care and check with your doctor if you have:


Hemophilia


Stomach or bowel problems




What should I watch for?


Upset stomach


Rash


When do I need to call the doctor?


Signs of a very bad reaction. These include wheezing; chest tightness; fever; itching; bad cough; blue skin color; seizures; or swelling of face, lips, tongue, or throat. Go to the ER right away.


Very bad throwing up


Very bad belly pain


Very bad loose stools


Last Reviewed Date2017-06-30Consumer information use
This information is not specific medical advice and does not replace information you receive from your healthcare provider. Only your healthcare provider has the knowledge and training to provide advice that is right for you. You should not rely on this information in deciding whether or not to use, or accept your healthcare provider’s advice regarding use of, any natural products or similar treatments, therapies, or life-style choices.  This information does not endorse any natural products or similar treatments, therapies, or life-style choices as safe, effective, or approved for treating any patient or health condition. This is only a brief summary of general information. It does NOT include all information about natural products, possible uses, directions, warnings, precautions, interactions, adverse effects, or risks that may apply to you. You must talk with your healthcare provider for complete information about your health and treatment options.
Copyright
Copyright © 2018 Wolters Kluwer Clinical Drug Information, Inc. and its affiliates and/or licensors.  All rights reserved.
Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer
"
187,Papaya,"
Papaya

Professional
Interactions
Breastfeeding

More 


What is Papaya?



Papaya is a small, bushy tree with a hollow trunk, large palmate leaves, and oblong smooth-skinned fruits (melons). The melons are usually picked in a green state and allowed to ripen. When ripe, the flesh is sweet and juicy and similar in taste to other melons.
Scientific Name(s)
Carica papaya
Common Name(s)
Papaya is also known as pawpaw and melon tree.
What is it used for?
Traditional/Ethnobotanical usesPapaya, a tropical plant believed to have originated in southern Mexico and Central America, is now cultivated in tropical and subtropical regions worldwide. C. papaya is cultivated for its edible ripe fruit; its juice is a popular beverage, and its young leaves, shoots, and fruits are cooked as a vegetable. The fruits are a source of flavoring used in candies, jellies, preserves, and ice cream. Shallow cuts on the surface of fully grown but unripe fruits cause a milky sap or latex to ooze that is collected, dried, and termed ""crude papain."" Papain has many industrial uses, as well as milk-clotting (rennet) and protein-digesting properties. Nearly 80% of American beer is treated with papain, which allows the beer to remain clear upon cooling. Papain is most commonly used commercially in meat tenderizers and chewing gums. Cosmetically, papain is used in some toothpastes, shampoos, and facial creams.Miscellaneous usesPapaya has been used widely in folk medicine for many ailments: the juice for warts, corns, cancers, tumors, and thickened skin; the roots or their extracts for cancers of the uterus, syphilis, the tropical infection, hemorrhoids, and to remove mineral concretions in the urine; the unripe fruit as a mild laxative or diuretic, and to stimulate lactation, labor, or abortion; the ripe fruit for rheumatism and alkalinizing the urine; the seeds for intestinal worms or to stimulate menstruation or abortion; the leaves as a poultice for nervous pains and elephantoid growths, or smoked for asthma relief; and the latex for psoriasis, ringworm, indigestion, or applied externally as an antiseptic or to heal burns or scalds, or applied to the cervix to contract the uterus.General usesIn some developing countries, the traditional use of papaya is being investigated as an alternative to standard treatments for a range of ailments. C. papaya has a wide range of purported medicinal properties for treatment of diabetes, as birth control, as an antiseptic, antimicrobial, or diuretic, to control parasites, reduce inflammation, lower blood pressure, and lower cholesterol. While there are only limited data to support most of these uses, there is some evidence for healing bed sores and other wounds and in treating intestinal worms in humans.
What is the recommended dosage?
A commercially produced ointment to debride wounds is available by prescription in the United States. Each 1 g contains 8.3 × 105 USP units papain and 100 mg of urea. There is very little data available to make specific recommendations regarding systemic doses of papaya. One study used a 4 g dose of air-dried papaya seeds in 20 mL of honey to treat helminthiasis. In the United States, the fruit is generally recognized as safe (GRAS status) when used as a food.
Contraindications
Papaya may cause severe allergic reactions and is therefore contraindicated in sensitive people.
Pregnancy/Lactation
Possibly unsafe depending on the part of the plant being used and dose administered. Avoid use.
Interactions
None well documented.
Side Effects
Papaya may cause severe allergic reactions in sensitive people. Papaya latex can be a severe irritant and vesicant on skin. Papaya juice and papaya seeds are unlikely to cause adverse effects when taken orally; however, papaya leaves at high doses may cause stomach irritation.
Toxicology
There are parts of the plant (eg, seeds) that contain benzyl isothiocyanate, which may cause poisoning at high doses.
References
1. Papaya. Review of Natural Products. Facts & Comparisons [database online]. St. Louis, MO: Wolters Kluwer Health, Inc; December 2010.Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about papaya

Breastfeeding
Drug Interactions
Drug class: herbal products

Professional resources

Papaya (Advanced Reading)

Related treatment guides

Herbal Supplementation


"
188,Parsley,"
Parsley

Professional
Breastfeeding

More 


What is Parsley?



Parsley is an annual herb indigenous to the Mediterranean region, but now cultivated worldwide. It has erect stems and bright green leaves. Two cultivars of parsley exist: a curly leaf type and a flat leaf type. Parsley produces an umbel of tiny flowers and characteristic ribbed seeds.Caution must be used when gathering wild parsley because of the general similarity of its leaves and flowers to 3 common poisonous plants. The first, Aethusa cynapium (dog poison, fool's parsley, small hemlock) may be distinguished from parsley by the shiny, yellow-green underside of the leaves, which are dull in parsley, and the white flowers, which are yellowish in parsley. Similarly, collectors should be aware of Conium maculatum (poison hemlock, water hemlock, poison parsley) and Cicuta maculata (water hemlock). Poison hemlock is a much larger plant than common parsley. Poisonings have occurred when the leaves of Conium were mistaken for parsley and the seeds for anise. Symptoms of Conium and Cicuta poisoning include vomiting, diarrhea, weakness, paralysis, weak pulse, dilated pupils, convulsions, and death.
Scientific Name(s)
Petroselinum crispum
Common Name(s)
Parsley also is known as rock parsley and garden parsley.
What is it used for?
Traditional/Ethnobotanical usesParsley leaves and roots are popular as condiments and garnish worldwide. In Lebanon, parsley is a major ingredient in the national dish tabbouleh. An average adult may consume as much as 50 g of parsley per meal.Miscellaneous usesParsley has been used as a source of certain vitamins and minerals. Parsley seed was used traditionally as a carminative to decrease flatulence and colic pain. The root was used as a diuretic and the juice to treat kidney ailments. Parsley oil also has been used to regulate menstrual flow in the treatment of amenorrhea and dysmenorrhea, and is purported to be an abortive. Bruised leaves have been used to treat tumors, insect bites, lice, skin parasites, and contusions. At one time, parsley tea was used to treat dysentery and gallstones. Other reported traditional uses include treatment of diseases of the prostate, liver, and spleen. Historically, parsley also has been used in the treatment of anemia, arthritis, and cancers, as an expectorant, antimicrobial, aphrodisiac, hypotensive, diuretic, and laxative. It also has been used as a scalp lotion to stimulate hair growth. However, there have been no clinical trials to confirm these uses.
What is the recommended dosage?
Parsley has been used at daily doses of 6 g. However, no clinical studies have been found that support this dose. The essential oil should not be used because of toxicity.
Contraindications
Contraindications have not yet been identified.
Pregnancy/Lactation
Generally recognized as safe when used as food. Safety and efficacy for dosages above those in foods are unproven and should be avoided. Emmenagogue (to stimulate menstrual flow) and abortive effects in higher doses.
Interactions
None well documented.
Side Effects
Adverse effects from the ingestion of parsley oil include headache, giddiness, loss of balance, convulsions, and renal damage. The psoralen compounds found in parsley have been linked to a photodermatitis reaction found among parsley cutters.
Toxicology
While no major toxicities have been reported with the use of parsley, pregnant women should not take parsley because of possible uterotonic effects.
References
1. Parsley. Review of Natural Products. factsandcomparisons4.0 [online]. 2004. Available from Wolters Kluwer Health, Inc. Accessed April 19, 2007.Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about parsley

Breastfeeding

Professional resources

Parsley (Advanced Reading)


"
189,Passion Flower,"
Passion Flower
 Medically reviewed by Drugs.com.  Last updated on May 11, 2019. 

Professional
Reviews

More 


What are other common names?






Passiflora incarnata

Apricot Vine
Burucuya
Corona de Cristo
Fleischfarbige
Fleur de la Passion
Fleur de Passiflore
Flor de Passion
Granadilla
Granadilla (species with edible fruit)
Grenadille
Herba Passiflorae
Jamaican Honeysuckle
Jamaican Honeysuckle (Passiflora laurifolia)
Madre Selva
Maracuja
Maracuva
Maypop
Maypop Passion Flower
Pasiflora
Pasionari
Pasionaria
Passiflora
Passiflorae Herba
Passiflore
Passiflore Aubépine
Passiflore Officinale
Passiflore Purpurine
Passiflore Rouge
Passiflorina
Passion Flower Herb
Passion Fruit
Passion Vine
Passionaria
Passionblume
Passionflower
Passionflower Herb
Passionsblomma
Passionsblumenkraut
Purple Passion Flower
Purple Passionflower
Water Lemon
Wild Passion Flower
Wild Passion Flower (P. incarnatus)

What is this product used for?
Passion flower is used by some people to help with sleep problems. Others use it to treat pain or muscle cramps. Passion flower can help treat anxiety or mood disorders. Some people use passion flower to help with the signs that go along with opioid drug withdrawal.
What are the precautions when taking this product?


Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products.


Be sure to tell your doctor that you take this product if you are scheduled for surgery or tests.


Do not use this product if you are pregnant, breastfeeding, or plan to become pregnant soon. Use birth control you can trust while taking this product.


Avoid beer, wine, and mixed drinks (alcohol) while taking this product.


This product may cause you to be sleepy. Take extra care driving and doing tasks that you need to be alert for.


What should I watch for?


Upset stomach


Irregular heart rate


Not able to think clearly


Wheezing or trouble breathing


Stuffy nose


When do I need to call the doctor?


Signs of a very bad reaction. These include wheezing; chest tightness; fever; itching; bad cough; blue skin color; seizures; or swelling of face, lips, tongue, or throat. Go to the ER right away.


Very bad throwing up


Not able to wake up or feeling too sleepy


Very bad dizziness, passing out, or fast heartbeat


Last Reviewed Date2017-06-30Consumer information use
This information is not specific medical advice and does not replace information you receive from your healthcare provider. Only your healthcare provider has the knowledge and training to provide advice that is right for you. You should not rely on this information in deciding whether or not to use, or accept your healthcare provider’s advice regarding use of, any natural products or similar treatments, therapies, or life-style choices.  This information does not endorse any natural products or similar treatments, therapies, or life-style choices as safe, effective, or approved for treating any patient or health condition. This is only a brief summary of general information. It does NOT include all information about natural products, possible uses, directions, warnings, precautions, interactions, adverse effects, or risks that may apply to you. You must talk with your healthcare provider for complete information about your health and treatment options.
Copyright
Copyright © 2018 Wolters Kluwer Clinical Drug Information, Inc. and its affiliates and/or licensors.  All rights reserved.
Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about passion flower

6 Reviews

Professional resources

Passion Flower (Advanced Reading)

Related treatment guides

Herbal Supplementation


"
190,Pectin,"
Pectin Medically reviewed by Drugs.com.  Last updated on Jun 30, 2019. What are other common names?





Acide Pectinique
Acide Pectique
Apple Pectin
Citrus Pectin
Fruit Pectin
Grapefruit Pectin
Lemon Pectin
MCP
Modified Citrus Pectin
Pectina
Pectine
Pectine de Citron
Pectine de Fruit
Pectine de Pamplemousse
Pectine de Pomme
Pectine d’Agrume
Pectine d’Agrume Modifiée
Pectinic Acid

What is this product used for?
Pectin is used by some people to help with loose stools. Others believe it will lower cholesterol levels. Some people believe it helps to lessen heartburn. Pectin is used by some people to help slow cancer growth.
What are the precautions when taking this product?


Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products.


This product may interfere with some lab tests. Be sure to talk with your doctor about this and all drugs you are taking.


Take extra care if you are allergic to cashews or pistachios.


Take extra care and check with your doctor if you have:


Heart problems


Asthma




What should I watch for?


Upset stomach


Increased gas


Wheezing or trouble breathing


When do I need to call the doctor?


Signs of a very bad reaction. These include wheezing; chest tightness; fever; itching; bad cough; blue skin color; seizures; or swelling of face, lips, tongue, or throat. Go to the ER right away.


Very bad throwing up


Very bad belly pain


Very bad loose stools


Last Reviewed Date2017-06-30Consumer information use
This information is not specific medical advice and does not replace information you receive from your healthcare provider. Only your healthcare provider has the knowledge and training to provide advice that is right for you. You should not rely on this information in deciding whether or not to use, or accept your healthcare provider’s advice regarding use of, any natural products or similar treatments, therapies, or life-style choices.  This information does not endorse any natural products or similar treatments, therapies, or life-style choices as safe, effective, or approved for treating any patient or health condition. This is only a brief summary of general information. It does NOT include all information about natural products, possible uses, directions, warnings, precautions, interactions, adverse effects, or risks that may apply to you. You must talk with your healthcare provider for complete information about your health and treatment options.
Copyright
Copyright © 2018 Wolters Kluwer Clinical Drug Information, Inc. and its affiliates and/or licensors.  All rights reserved.
Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer
"
191,Pennyroyal,"
Pennyroyal

Overview
Professional
Interactions
Reviews

More 


What is Pennyroyal?



Both plants are members of the mint family and both are referred to as pennyroyal. H. pulegioides (American pennyroyal) grows in woods through most of the northern and eastern US and Canada while M. pulegium is found in parts of Europe. Pennyroyal is a perennial, creeping herb with small, lilac flowers at the stem ends. The leaves are grayish green and, like other mint family members, very aromatic.
Scientific Name(s)
Hedeoma pulegioides, Mentha pulegium
Common Name(s)
Pennyroyal also is known as American pennyroyal, squawmint, mosquito plant, and pudding grass.
What is it used for?
Traditional/Ethnobotanical usesPennyroyal has been recorded in history as far back as the first century AD, when it was mentioned by Roman naturalist Pliny and Greek physician Dioscorides. In the 17th century, English herbalist Nicholas Culpeper wrote about some uses for the plant including its role in women's ailments, venomous bites, and digestion. European settlers used the plant for respiratory ailments, mouth sores, and female disorders. The plant's oil has been used as a flea-killing bath, hence the name pulegioides (from the Latin word meaning flea), and has been used externally as a rubefacient (counter-irritant). In addition, the oil has found frequent use among natural health advocates as an abortive and as a means of inducing delayed menses. The oil and infusions of the leaves have been used in the treatment of weakness and stomach pains.Miscellaneous usesPennyroyal has been used as an insect repellent, antiseptic, fragrance, flavoring, as an emmenagogue (to stimulate menstrual flow), carminative, stimulant, antispasmodic and for bowel disorders, skin eruptions, and pneumonia. The abortive effect of the oil is thought to be caused by irritation of the uterus with subsequent uterine contraction. Its action is unpredictable and dangerous. The dose at which the herb induces abortion is close to lethal, and in some cases it is lethal. Pennyroyal is not considered safe for ingestion for any use.
What is the recommended dosage?
Pennyroyal usually is used as the volatile oil as an abortive. Because of severe toxicity at doses of 5 g, it should not be used.
Contraindications
No longer considered safe.
Pregnancy/Lactation
Documented adverse effects. Avoid use. Abortive, hepatotoxic (toxic to liver), and neurotoxic.
Interactions
None well documented.
Side Effects
Pennyroyal may cause abdominal pain, nausea, vomiting, lethargy, increased blood pressure and increased pulse rate, and dermatitis. In tea form, small amounts have been used without reported side effects.
Toxicology
In large portions, pennyroyal can cause abortion, irreversible renal damage, severe liver damage and death. A small amount of oil can produce delirium, unconsciousness, shock, seizures and auditory and visual hallucinations.
References
1. Pennyroyal. Review of Natural Products. factsandcomparisons4.0 [online]. 2005. Available from Wolters Kluwer Health, Inc. Accessed April 19, 2007.Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about pennyroyal

Drug Interactions
En Español
1 Review
Drug class: herbal products

Consumer resources

Pennyroyal

Professional resources

Pennyroyal (Advanced Reading)

Related treatment guides

Premenstrual Dysphoric Disorder
Skin Rash
Gout
Herbal Supplementation
Indigestion


"
192,Peppermint,"
Peppermint
 Medically reviewed by Drugs.com.  Last updated on Dec 29, 2018. 

Overview
Professional
Breastfeeding
Reviews

More 


What are other common names?






Mentha arvensis


Mentha halpocalyx


Mentha lavanduliodora


Mentha x piperita L. Peppermint is a hybrid of Mentha spicata L. (spearmint) and Mentha aquatica L. Family: Lamiaceae (mints)


Mentha x piperita

Black Peppermint
Bo He
Brandy Mint
Chinese Peppermint
Corn Mint
Extract of Mentha Piperita
Extract of Peppermint
Extract of Peppermint Leaves
Extrait de Feuilles de Menthe de Poivrée
Extrait de Mentha Piperita
Extrait de Menthe Poivrée
Field Mint
Herba Menthae
Huile de Mentha Piperita
Huile de Menthe Poivrée
Huile Essentiella de Menthe Poivrée
Lamb Mint
Mentha Lavanduliodora
Mentha Oil
Mentha Piperita
Mentha Piperita Extract
Mentha Piperita Oil
Mentha x piperita
Menthae Piperitae Aetheroleum
Menthae Piperitae Folium
Menthe
Menthe Poivrée
Menthol
Mint
Mint Balm
Oil of Peppermint
Paparaminta
Peppermint Essential Oil
Peppermint Extract
Peppermint Leaf
Peppermint Leaf Extract
Peppermint Oil
Western Peppermint

What is this product used for?
Peppermint oil is used by some people to help with irritable bowel syndrome. It can help to decrease upset stomach, bloating, or gas. Some people use peppermint oil on their skin to help with pain, muscle aches, or headaches. No information currently supports the use of dried peppermint leaves for any condition.
What are the precautions when taking this product?


Always check with your doctor before you use a natural product. Some products may not mix well with drugs or other natural products. Some drugs may have worse side effects if you take them with this natural product.


This product may interfere with some lab tests. Be sure to talk with your doctor about this and all drugs you are taking.


Do not take this product by mouth if you have gastroesophageal reflux disease (GERD), heartburn, or gastric ulcers.


Take extra care if you take this product with antacids or other drugs for heartburn.


Do not take this product by mouth if you are pregnant or breastfeeding.


Do not put peppermint oil on the face, especially under the nose of a child or infant.


Take extra care and check with your doctor if you have:


Gallstones


Stomach ulcers


Heartburn


Liver problems




What should I watch for?


Mouth sores


Heartburn


Flushing


Rash


Itching around the anus


When do I need to call the doctor?


Signs of a very bad reaction. These include wheezing; chest tightness; fever; itching; bad cough; blue skin color; seizures; or swelling of face, lips, tongue, or throat. Go to the ER right away.


Very bad throwing up


Very bad belly pain


Very bad loose stools


Very bad headache


Where can I learn more?
National Center for Complementary and Integrative Medicine

https://nccih.nih.gov/health/peppermintoil?nav=gsa

Last Reviewed Date2019-02-01Consumer information use
This information is not specific medical advice and does not replace information you receive from your healthcare provider. Only your healthcare provider has the knowledge and training to provide advice that is right for you. You should not rely on this information in deciding whether or not to use, or accept your healthcare provider’s advice regarding use of, any natural products or similar treatments, therapies, or life-style choices.  This information does not endorse any natural products or similar treatments, therapies, or life-style choices as safe, effective, or approved for treating any patient or health condition. This is only a brief summary of general information. It does NOT include all information about natural products, possible uses, directions, warnings, precautions, interactions, adverse effects, or risks that may apply to you. You must talk with your healthcare provider for complete information about your health and treatment options.
Copyright
Copyright © 2018 Wolters Kluwer Clinical Drug Information, Inc. and its affiliates and/or licensors.  All rights reserved.
Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about peppermint

Breastfeeding
En Español
1 Review
Drug class: herbal products

Consumer resources

Peppermint

Professional resources

Peppermint (Advanced Reading)

Related treatment guides

Herbal Supplementation
Gallbladder Disease
Liver Cirrhosis
Nausea/Vomiting
... +4 more


"
193,Periwinkle,"
Periwinkle

Professional
Reviews

More 


What is Periwinkle?



Although the plant is said to be native to the West Indies, it first was described in Madagascar. The periwinkle is a perennial herb with flowers that can bloom throughout the year, depending on the climate. These often are bred for their unique colors, ranging from white to green-yellow and lavender. Also referred to as Lochnera rosea, Vinca rosea, and Ammocallis rosea. The related plant Vinca minor (common periwinkle, Myrtle) is used as a ground cover.
Scientific Name(s)
Catharanthus roseus
Common Name(s)
Periwinkle also is known as red periwinkle, Madagascar or Cape periwinkle, old maid, church-flower, ram-goat rose, ""myrtle,"" and magdalena.
What is it used for?
Traditional/Ethnobotanical usesThe plant was introduced in Europe during the mid-1700s, during which time it was cultivated as an ornamental. Today it grows throughout much of the world and plantations have been established on most continents in the warmer climates. The plant has been widely used in tropical folk medicine. Decoctions of the plant have been used for maladies ranging from ocular inflammation, diabetes, and hemorrhage to treating insect stings and cancers.Miscellaneous usesPeriwinkle alkaloids have been used in the treatment of leukemia, Hodgkin disease, malignant lymphomas, neuroblastoma, Wilms tumor, Kaposi sarcoma, mycosis fungoides, to improve cerebral blood flow, and treat high blood pressure.The most well known of the ""vinca"" alkaloids derived from C. roseus are vinblastine (vincaleukoblastine, Velban) and vincristine (leurocristine, Oncovin), which are now widely used pharmaceutical anticancer agents. An extensive body of literature exists on the clinical uses of the various purified alkaloids of Catharanthus.
What is the recommended dosage?
There is no recent clinical evidence to support specific doses of periwinkle herb. The pure alkaloids vincristine and vinblastine are used in cancer therapy at single weekly IV doses of 0.05 to 0.15 mg/kg and 0.1 to 0.2 mg/kg respectively.
Contraindications
Contraindications have not yet been identified.
Pregnancy/Lactation
Information regarding safety and efficacy in pregnancy and lactation is lacking. Avoid use.
Interactions
None well documented.
Side Effects
Do not self-administer the plant periwinkle. Physicians will inform patients using pharmaceutical forms of periwinkle of possible adverse reactions.
Toxicology
Periwinkle is potentially toxic and has been known to cause acute dyspnea.
References
1. Periwinkle. Review of Natural Products. factsandcomparisons4.0 [online]. 2007. Available from Wolters Kluwer Health, Inc. Accessed April 19, 2007.Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about periwinkle

1 Review

Professional resources

Periwinkle (Advanced Reading)

Related treatment guides

Herbal Supplementation


"
194,Peru Balsam,"
Peru Balsam
What is Peru Balsam?



Peru balsam is a tall tree native to Central and South America. The plant bears evergreen leaves and white flowers. The hardwood tree contains oil that is naturally resistant to insects and has a characteristic scent.
Scientific Name(s)
Myroxylon balsamum
Common Name(s)
Peru balsam is also known as balsam of Peru, balsamo blanco, baumier du Perou, Peruvian balsam, Indian balsam, black balsam, and Perubalsambaum.
What is it used for?
Traditional/Ethnobotanical usesCrude Peru balsam is a dark brown, thick liquid with an aromatic smell similar to that of cinnamon and vanilla and a bitter taste. It is obtained from the tree after the bark has been removed; the trunk is wrapped with rags that are later boiled to extract the resin.The balsam was imported almost exclusively from El Salvador to Europe through Peruvian ports, which is how the material derived its name. Central and South American natives used the material to stop bleeding and promote wound healing, and also to increase urination and to expel worms. It was once used widely as a treatment for scabies; it has also been used in suppositories for hemorrhoids and in dentistry in the treatment of ""dry socket"" after teeth are pulled, and in dental impression material. Today, the material is in a number of pharmaceutical preparations and plays an important role in perfumes. The material should not be swallowed.General usesPeru balsam has been used in the treatment of dry socket in dentistry, on the skin as a treatment for wounds and ulcers, and in suppositories for hemorrhoids. However, there are only older, small studies to support these uses.
What is the recommended dosage?
Peru balsam has been used on the skin in 5% to 20% formulations for wounds and burns. Case reports and small clinical studies report the effectiveness of balsam combined with other ingredients in the management of certain wounds; however, there are no recent clinical studies to support appropriate dosing.
Contraindications
Contraindications have not been identified.
Pregnancy/Lactation
Information regarding safety and efficacy in pregnancy and lactation is lacking. A toxic reaction following application of Peru balsam to the nipples of breast-feeding mothers has been reported.
Interactions
None well documented.
Side Effects
Peru balsam is an allergen.
Toxicology
Information is lacking.
References
1. Peru Balsam. Review of Natural Products. Facts & Comparisons [database online]. St. Louis, MO: Wolters Kluwer Health Inc; November 2012.Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about balsam peru topical

Drug class: miscellaneous topical agents

Professional resources

Peru Balsam (Advanced Reading)

Related treatment guides

Minor Skin Conditions


"
