,Medicines,Description
247,Walnut,"


There are about 15 species of Juglans (walnut genus); commercially, J. regia is the most important. This deciduous tree can grow to 45 m in height. J. regia is native to Asia but is cultivated now in France and other parts of Europe, North Africa, North America, and East Asia."
248,Wild Yam,
249,Willow Bark,
250,Wintergreen,"


Wintergreen is a perennial evergreen shrub that is native to eastern North America, and usually is found in woodland and exposed mountainous areas. Its small, waxy, white or pale pink flowers bloom in late summer, developing a red fruit. The leaves and fruits are edible."
251,Witch Hazel,"


Witch hazel is a deciduous bush or small tree reaching about 6 m in height found in damp woods throughout most of North America. It has broad, toothed oval leaves, and golden yellow flowers. Brown fruit capsules appear after the flowers. The dried leaves, bark, and twigs are used."
252,Yarrow,"


The name yarrow applies to any of roughly 80 species of daisy family (Asteraceae) native to the north temperate zone. A. millefolium is a hardy perennial weed with finely divided leaves and whitish, pink, or reddish flowers. Golden yarrow is Eriophyllum confertiflorum."
253,Yellow Dock,"


Yellow dock is a perennial herb that, although native to Europe, grows throughout the United States. The yellow roots and rhizomes are used medicinally."
254,Yerba Santa,"


The yerba santa plant is an evergreen aromatic shrub that is indigenous to the hills and mountains of California, Oregon, and northern Mexico. It often is cultivated as an ornamental shrub. The hairy, lance-shaped leaves are glutinous, and its flowers are white to lavender in color."
255,Yogurt,"


Yogurt is the general term for a fermented, slightly acidic milk product that contains essentially no alcohol. Most commonly, it is prepared by the addition of live cultures of Streptococcus thermophilus and Lactobacillus bulgaricus to heated whole or skim cow's milk. The mixture is incubated and homogenized to a semisolid. Condensed skim milk or dry milk solids sometimes are added to produce a custard-like texture. If cultures of Lactobacillus acidophilus are added, the product is called acidophilus milk. Yogurt provides a dietary source of calcium and protein, as well as folic acid, magnesium, and zinc.
What is it used for?
ProbioticYogurt has been promoted to restore the GI flora after systemic antibiotic therapy and to alleviate anal pruritus, aphthous ulcers, and canker sores. The large number of bacteria in active yogurt (each milliliter of commercial brands contains about 125 million L. bulgaricus and 125 million S. thermophilus) may hasten colonization in the colon, thereby removing the reservoir of yeast infection. More than 3 decades ago, bacterial replacement therapy with live cultures was found to have no established value in the prevention or treatment of such disorders. Yogurt possesses intrinsic antibacterial activity, probably largely because of its lactic acid content. Lactic acid has demonstrated bactericidal activity against some organisms, but this is probably not the only factor in eliminating the bacteria.Cardiovascular and cholesterol reduction effectsFat loss and weight loss have been demonstrated with the use of yogurt. Enhanced calcium intake was proposed as the mechanism for this effect. Older studies have demonstrated a cholesterol-lowering effect with yogurt. Surveys suggest yogurt has a protective effect against coronary heart disease and elevated blood pressure.OsteoporosisOne human clinical study showed that the addition of yogurt to the diet significantly reduced a marker of bone resorption in menopausal women. Despite the debate that exists regarding the role of supplemental calcium in the prevention of osteoporosis, yogurt remains a recommended source of calcium.Anticancer effectsYogurt also may have some anticancer properties. Yogurt has a protective effect against some cancers in laboratory experiments, but convincing human data are not available.Other usesYogurt has been used as a substitute for milk for those who are lactose intolerant. Yogurt has been at the center of a controversy regarding milk products that can be tolerated by people with lactase deficiency. Studies are inconclusive. Reports by those with lactose intolerance and other bowel disorders indicate individual responses that often vary from study results.Yogurt also has been used to prevent recurring vaginal yeast infections. There has been some interest in the direct vaginal instillation of yogurt for the treatment of Candida infections. However, the clinical effects of this therapy have not been defined in well-controlled studies, and this practice cannot be widely recommended, particularly in pregnant women.
What is the recommended dosage?
In addition to its widespread use as a food, yogurt has been studied in clinical trials in amounts of 100 to 200 g/day.
Contraindications
The use of yogurt containing live cultures (probiotic) is not advised in patients at risk for opportunistic infections or in those with badly damaged GI tracts.
Pregnancy/Lactation
Generally recognized as safe when used as food.
Interactions
None well documented.
Side Effects
Yogurt is not associated with any significant adverse reactions.
Toxicology
No data.
References
1. Yogurt. Review of Natural Products. factsandcomparisons4.0 [online]. 2006. Available from Wolters Kluwer Health, Inc. Accessed April 23, 2007.Further informationAlways consult your healthcare provider to ensure the information displayed on this page applies to your personal circumstances.
Medical Disclaimer

More about yogurt

Support Group

Professional resources

Probiotics (Advanced Reading)

Related treatment guides

Dietary Supplementation"
256,Yohimbe,
257,Yucca,"


The name yucca applies to as many as 40 species of trees and shrubs found mostly in arid portions of North America. The common names noted above can apply to different species. The Spanish bayonet is Y. aloifolia and Our Lord's candle is Y. whipplei. Other common yuccas include Y. schidigera (Mohave yucca) and Y. brevifolia (Joshua tree), which grows to 60 feet in height and commonly is found at the bases of desert mountains. Yucca plants are characterized by stiff, evergreen, sword-shaped leaves crowded on a stout trunk. There is a dense terminal flowerhead faintly resembling a candle. The flowers are white or greenish. All yucca plants depend for pollination on nocturnal yucca moths. Each variety of moth is adapted to a single species of yucca."
258,Zinc,
